Datetime,PM2.5
2017-09-18 11:00:00,12.38
2017-03-28 06:00:00,33.88
2016-01-09 16:00:00,35.0
2017-01-08 09:00:00,67.0
2018-03-24 02:00:00,69.92
2018-09-08 07:00:00,16.95
2020-03-16 01:00:00,29.71
2020-05-24 10:00:00,41.5
2016-12-01 05:00:00,56.0
2015-09-14 05:00:00,108.46
2017-03-29 07:00:00,47.88
2018-03-24 00:00:00,71.17
2015-07-31 12:00:00,16.0
2020-06-06 14:00:00,23.6
2019-07-24 19:00:00,9.12
2016-02-22 14:00:00,520.75
2015-09-23 22:00:00,62.0
2016-07-25 15:00:00,13.0
2016-12-11 00:00:00,56.0
2016-09-20 06:00:00,8.5
2017-08-17 09:00:00,13.25
2015-05-31 13:00:00,50.0
2015-08-28 12:00:00,39.0
2017-06-12 17:00:00,6.5
2019-03-14 03:00:00,42.75
2019-06-15 09:00:00,18.67
2018-02-26 07:00:00,58.04
2018-03-29 18:00:00,57.54
2018-09-22 18:00:00,26.21
2019-03-03 23:00:00,34.88
2017-05-06 03:00:00,35.88
2016-07-15 06:00:00,18.18
2018-04-24 01:00:00,24.04
2019-03-17 08:00:00,42.75
2017-12-20 07:00:00,81.17
2018-10-12 07:00:00,61.0
2017-08-15 22:00:00,30.5
2016-04-30 14:00:00,19.75
2019-10-28 20:00:00,56.5
2015-09-09 00:00:00,51.38
2016-05-29 13:00:00,25.5
2019-12-02 14:00:00,58.17
2019-02-21 07:00:00,47.06
2017-05-22 21:00:00,80.0
2019-09-14 04:00:00,22.21
2017-09-19 07:00:00,8.75
2020-05-28 00:00:00,27.06
2016-01-10 03:00:00,74.38
2018-04-30 23:00:00,70.42
2017-07-15 00:00:00,16.42
2017-10-20 04:00:00,73.5
2015-04-19 13:00:00,45.0
2018-03-22 12:00:00,44.46
2016-07-28 15:00:00,20.0
2020-03-28 17:00:00,38.56
2015-08-24 21:00:00,110.5
2019-06-06 23:00:00,20.25
2015-09-01 10:00:00,64.75
2018-03-11 15:00:00,41.67
2015-09-07 09:00:00,23.0
2019-07-11 00:00:00,13.17
2017-01-01 07:00:00,89.5
2019-09-12 14:00:00,24.17
2016-06-08 23:00:00,36.1
2016-07-04 03:00:00,34.0
2018-07-02 23:00:00,14.79
2018-04-28 05:00:00,31.38
2018-10-23 00:00:00,73.38
2017-07-30 00:00:00,14.83
2016-06-16 05:00:00,995.0
2018-03-12 09:00:00,46.0
2019-02-25 08:00:00,67.67
2017-03-03 06:00:00,27.38
2018-09-27 20:00:00,33.67
2019-03-24 17:00:00,44.25
2019-09-30 15:00:00,26.71
2020-06-26 01:00:00,24.15
2015-10-07 04:00:00,373.42
2017-02-08 08:00:00,85.0
2019-12-09 09:00:00,53.9
2017-07-15 20:00:00,16.12
2016-10-20 18:00:00,50.0
2020-05-16 18:00:00,28.92
2015-05-13 12:00:00,36.0
2016-10-27 15:00:00,52.5
2016-12-25 11:00:00,45.0
2017-05-24 07:00:00,87.0
2019-03-10 17:00:00,37.75
2015-06-10 13:00:00,21.0
2017-07-18 12:00:00,11.42
2020-04-08 09:00:00,17.0
2016-10-21 09:00:00,56.0
2017-04-18 08:00:00,99.62
2018-08-05 01:00:00,15.25
2017-03-28 21:00:00,76.25
2017-06-16 09:00:00,15.38
